x,y,value,discipline,country
Dashiell Corvin-Brittin,Feb 15-28,7,2,7
Dashiell Corvin-Brittin,Mar 1-15,11,2,7
Dashiell Corvin-Brittin,Mar 16-31,17,2,7
Dashiell Corvin-Brittin,Apr 1-15,5,2,7
Dashiell Corvin-Brittin,Apr 16-30,2,2,7
Dashiell Corvin-Brittin,May 1-now,6,2,7
Emil Alex,Sep 1-15,4,3,2
Emil Alex,Sep 16-30,5,3,2
Emil Alex,Oct 1-15,6,3,2
Emil Alex,Oct 16-31,4,3,2
Emil Alex,Nov 1-15,11,3,2
Emil Alex,Nov 15-30,20,3,2
Emil Alex,Dec 1-15,18,3,2
Emil Alex,Dec 16-31,11,3,2
Emil Alex,Jan 1-15,18,3,2
Emil Alex,Jan 16-31,11,3,2
Emil Alex,Feb 1-14,4,2,7
Emil Alex,Feb 15-28,7,2,7
Emil Alex,Mar 1-15,11,2,7
Emil Alex,Mar 16-31,17,2,7
Emil Alex,Apr 1-15,5,2,7
Emil Alex,Apr 16-30,2,2,7
Emil Alex,May 1-now,6,2,7
Hanzi Shao,Sep 1-15,3,3,1
Hanzi Shao,Sep 16-30,2,3,1
Hanzi Shao,Oct 1-15,5,3,1
Hanzi Shao,Oct 16-31,7,3,1
Hanzi Shao,Nov 1-15,15,3,1
Hanzi Shao,Nov 15-30,9,3,1
Hanzi Shao,Dec 1-15,15,3,1
Hanzi Shao,Dec 16-31,19,3,1
Hanzi Shao,Jan 1-15,15,3,1
Hanzi Shao,Jan 16-31,19,3,1
Hanzi Shao,Feb 1-14,4,2,7
Hanzi Shao,Feb 15-28,7,2,7
Hanzi Shao,Mar 1-15,11,2,7
Hanzi Shao,Mar 16-31,17,2,7
Hanzi Shao,Apr 1-15,5,2,7
Hanzi Shao,Apr 16-30,2,2,7
Hanzi Shao,May 1-now,6,2,7
Hee Min Jee,Sep 1-15,2,2,3
Hee Min Jee,Sep 16-30,7,2,3
Hee Min Jee,Oct 1-15,11,2,3
Hee Min Jee,Oct 16-31,12,2,3
Hee Min Jee,Nov 1-15,1,2,3
Hee Min Jee,Nov 15-30,14,2,3
Hee Min Jee,Dec 1-15,16,2,3
Hee Min Jee,Dec 16-31,17,2,3
Hee Min Jee,Jan 1-15,16,2,3
Hee Min Jee,Jan 16-31,17,2,3
Hee Min Jee,Feb 1-14,4,2,7
Hee Min Jee,Feb 15-28,7,2,7
Hee Min Jee,Mar 1-15,11,2,7
Hee Min Jee,Mar 16-31,17,2,7
Hee Min Jee,Apr 1-15,5,2,7
Hee Min Jee,Apr 16-30,2,2,7
Hee Min Jee,May 1-now,6,2,7
Hongru Hou,Sep 1-15,2,3,1
Hongru Hou,Sep 16-30,7,3,1
Hongru Hou,Oct 1-15,11,3,1
Hongru Hou,Oct 16-31,17,3,1
Hongru Hou,Nov 1-15,12,3,1
Hongru Hou,Nov 15-30,2,3,1
Hongru Hou,Dec 1-15,6,3,1
Hongru Hou,Dec 16-31,4,3,1
Hongru Hou,Jan 1-15,6,3,1
Hongru Hou,Jan 16-31,4,3,1
Hongru Hou,Feb 1-14,4,2,7
Hongru Hou,Feb 15-28,7,2,7
Hongru Hou,Mar 1-15,11,2,7
Hongru Hou,Mar 16-31,17,2,7
Hongru Hou,Apr 1-15,5,2,7
Hongru Hou,Apr 16-30,2,2,7
Hongru Hou,May 1-now,6,2,7
Hui Yang,Sep 1-15,1,1,1
Hui Yang,Sep 16-30,8,1,1
Hui Yang,Oct 1-15,9,1,1
Hui Yang,Oct 16-31,3,1,1
Hui Yang,Nov 1-15,15,1,1
Hui Yang,Nov 15-30,2,1,1
Hui Yang,Dec 1-15,13,1,1
Hui Yang,Dec 16-31,10,1,1
Hui Yang,Jan 1-15,13,1,1
Hui Yang,Jan 16-31,10,1,1
Hui Yang,Feb 1-14,4,2,7
Hui Yang,Feb 15-28,7,2,7
Hui Yang,Mar 1-15,11,2,7
Hui Yang,Mar 16-31,17,2,7
Hui Yang,Apr 1-15,5,2,7
Hui Yang,Apr 16-30,2,2,7
Hui Yang,May 1-now,6,2,7
Jitpanan Jaturuntawaniya,Sep 1-15,2,2,6
Jitpanan Jaturuntawaniya,Sep 16-30,5,2,6
Jitpanan Jaturuntawaniya,Oct 1-15,6,2,6
Jitpanan Jaturuntawaniya,Oct 16-31,4,2,6
Jitpanan Jaturuntawaniya,Nov 1-15,7,2,6
Jitpanan Jaturuntawaniya,Nov 15-30,20,2,6
Jitpanan Jaturuntawaniya,Dec 1-15,18,2,6
Jitpanan Jaturuntawaniya,Dec 16-31,11,2,6
Jitpanan Jaturuntawaniya,Jan 1-15,18,2,6
Jitpanan Jaturuntawaniya,Jan 16-31,11,2,6
Jitpanan Jaturuntawaniya,Feb 1-14,4,2,7
Jitpanan Jaturuntawaniya,Feb 15-28,7,2,7
Jitpanan Jaturuntawaniya,Mar 1-15,11,2,7
Jitpanan Jaturuntawaniya,Mar 16-31,17,2,7
Jitpanan Jaturuntawaniya,Apr 1-15,5,2,7
Jitpanan Jaturuntawaniya,Apr 16-30,2,2,7
Jitpanan Jaturuntawaniya,May 1-now,6,2,7
John Wegner,Sep 1-15,3,1,7
John Wegner,Sep 16-30,2,1,7
John Wegner,Oct 1-15,5,1,7
John Wegner,Oct 16-31,7,1,7
John Wegner,Nov 1-15,5,1,7
John Wegner,Nov 15-30,9,1,7
John Wegner,Dec 1-15,15,1,7
John Wegner,Dec 16-31,19,1,7
John Wegner,Jan 1-15,15,1,7
John Wegner,Jan 16-31,19,1,7
John Wegner,Feb 1-14,4,2,7
John Wegner,Feb 15-28,7,2,7
John Wegner,Mar 1-15,11,2,7
John Wegner,Mar 16-31,17,2,7
John Wegner,Apr 1-15,5,2,7
John Wegner,Apr 16-30,2,2,7
John Wegner,May 1-now,6,2,7
Katelyn Moore,Sep 1-15,2,1,7
Katelyn Moore,Sep 16-30,7,1,7
Katelyn Moore,Oct 1-15,11,1,7
Katelyn Moore,Oct 16-31,12,1,7
Katelyn Moore,Nov 1-15,6,1,7
Katelyn Moore,Nov 15-30,14,1,7
Katelyn Moore,Dec 1-15,16,1,7
Katelyn Moore,Dec 16-31,17,1,7
Katelyn Moore,Jan 1-15,16,1,7
Katelyn Moore,Jan 16-31,17,1,7
Katelyn Moore,Feb 1-14,4,2,7
Katelyn Moore,Feb 15-28,7,2,7
Katelyn Moore,Mar 1-15,11,2,7
Katelyn Moore,Mar 16-31,17,2,7
Katelyn Moore,Apr 1-15,5,2,7
Katelyn Moore,Apr 16-30,2,2,7
Katelyn Moore,May 1-now,6,2,7
Kelly Steben,Sep 1-15,3,1,7
Kelly Steben,Sep 16-30,7,1,7
Kelly Steben,Oct 1-15,11,1,7
Kelly Steben,Oct 16-31,17,1,7
Kelly Steben,Nov 1-15,3,1,7
Kelly Steben,Nov 15-30,2,1,7
Kelly Steben,Dec 1-15,6,1,7
Kelly Steben,Dec 16-31,4,1,7
Kelly Steben,Jan 1-15,6,1,7
Kelly Steben,Jan 16-31,4,1,7
Kelly Steben,Feb 1-14,4,2,7
Kelly Steben,Feb 15-28,7,2,7
Kelly Steben,Mar 1-15,11,2,7
Kelly Steben,Mar 16-31,17,2,7
Kelly Steben,Apr 1-15,5,2,7
Kelly Steben,Apr 16-30,2,2,7
Kelly Steben,May 1-now,6,2,7
Krishna Sistla,Sep 1-15,3,3,2
Krishna Sistla,Sep 16-30,8,3,2
Krishna Sistla,Oct 1-15,9,3,2
Krishna Sistla,Oct 16-31,3,3,2
Krishna Sistla,Nov 1-15,9,3,2
Krishna Sistla,Nov 15-30,2,3,2
Krishna Sistla,Dec 1-15,13,3,2
Krishna Sistla,Dec 16-31,10,3,2
Krishna Sistla,Jan 1-15,13,3,2
Krishna Sistla,Jan 16-31,10,3,2
Krishna Sistla,Feb 1-14,4,2,7
Krishna Sistla,Feb 15-28,7,2,7
Krishna Sistla,Mar 1-15,11,2,7
Krishna Sistla,Mar 16-31,17,2,7
Krishna Sistla,Apr 1-15,5,2,7
Krishna Sistla,Apr 16-30,2,2,7
Krishna Sistla,May 1-now,6,2,7
Kyu Hee Keogh,Sep 1-15,2,3,3
Kyu Hee Keogh,Sep 16-30,5,3,3
Kyu Hee Keogh,Oct 1-15,6,3,3
Kyu Hee Keogh,Oct 16-31,4,3,3
Kyu Hee Keogh,Nov 1-15,12,3,3
Kyu Hee Keogh,Nov 15-30,20,3,3
Kyu Hee Keogh,Dec 1-15,18,3,3
Kyu Hee Keogh,Dec 16-31,11,3,3
Kyu Hee Keogh,Jan 1-15,18,3,3
Kyu Hee Keogh,Jan 16-31,11,3,3
Kyu Hee Keogh,Feb 1-14,4,2,7
Kyu Hee Keogh,Feb 15-28,7,2,7
Kyu Hee Keogh,Mar 1-15,11,2,7
Kyu Hee Keogh,Mar 16-31,17,2,7
Kyu Hee Keogh,Apr 1-15,5,2,7
Kyu Hee Keogh,Apr 16-30,2,2,7
Kyu Hee Keogh,May 1-now,6,2,7
Li Lin,Sep 1-15,3,2,5
Li Lin,Sep 16-30,2,2,5
Li Lin,Oct 1-15,5,2,5
Li Lin,Oct 16-31,7,2,5
Li Lin,Nov 1-15,4,2,5
Li Lin,Nov 15-30,9,2,5
Li Lin,Dec 1-15,15,2,5
Li Lin,Dec 16-31,19,2,5
Li Lin,Jan 1-15,15,2,5
Li Lin,Jan 16-31,19,2,5
Li Lin,Feb 1-14,4,2,7
Li Lin,Feb 15-28,7,2,7
Li Lin,Mar 1-15,11,2,7
Li Lin,Mar 16-31,17,2,7
Li Lin,Apr 1-15,5,2,7
Li Lin,Apr 16-30,2,2,7
Li Lin,May 1-now,6,2,7
Lingjiang Lai,Sep 1-15,2,2,1
Lingjiang Lai,Sep 16-30,7,2,1
Lingjiang Lai,Oct 1-15,11,2,1
Lingjiang Lai,Oct 16-31,12,2,1
Lingjiang Lai,Nov 1-15,6,2,1
Lingjiang Lai,Nov 15-30,14,2,1
Lingjiang Lai,Dec 1-15,16,2,1
Lingjiang Lai,Dec 16-31,17,2,1
Lingjiang Lai,Jan 1-15,16,2,1
Lingjiang Lai,Jan 16-31,17,2,1
Lingjiang Lai,Feb 1-14,4,2,7
Lingjiang Lai,Feb 15-28,7,2,7
Lingjiang Lai,Mar 1-15,11,2,7
Lingjiang Lai,Mar 16-31,17,2,7
Lingjiang Lai,Apr 1-15,5,2,7
Lingjiang Lai,Apr 16-30,2,2,7
Lingjiang Lai,May 1-now,6,2,7
Linzi Wu,Sep 1-15,3,3,1
Linzi Wu,Sep 16-30,7,3,1
Linzi Wu,Oct 1-15,11,3,1
Linzi Wu,Oct 16-31,17,3,1
Linzi Wu,Nov 1-15,16,3,1
Linzi Wu,Nov 15-30,2,3,1
Linzi Wu,Dec 1-15,6,3,1
Linzi Wu,Dec 16-31,4,3,1
Linzi Wu,Jan 1-15,6,3,1
Linzi Wu,Jan 16-31,4,3,1
Linzi Wu,Feb 1-14,4,2,7
Linzi Wu,Feb 15-28,7,2,7
Linzi Wu,Mar 1-15,11,2,7
Linzi Wu,Mar 16-31,17,2,7
Linzi Wu,Apr 1-15,5,2,7
Linzi Wu,Apr 16-30,2,2,7
Linzi Wu,May 1-now,6,2,7
Lucy Sweeney,Sep 1-15,5,1,7
Lucy Sweeney,Sep 16-30,8,1,7
Lucy Sweeney,Oct 1-15,9,1,7
Lucy Sweeney,Oct 16-31,3,1,7
Lucy Sweeney,Nov 1-15,20,1,7
Lucy Sweeney,Nov 15-30,2,1,7
Lucy Sweeney,Dec 1-15,13,1,7
Lucy Sweeney,Dec 16-31,10,1,7
Lucy Sweeney,Jan 1-15,13,1,7
Lucy Sweeney,Jan 16-31,10,1,7
Lucy Sweeney,Feb 1-14,4,2,7
Lucy Sweeney,Feb 15-28,7,2,7
Lucy Sweeney,Mar 1-15,11,2,7
Lucy Sweeney,Mar 16-31,17,2,7
Lucy Sweeney,Apr 1-15,5,2,7
Lucy Sweeney,Apr 16-30,2,2,7
Lucy Sweeney,May 1-now,6,2,7
Nicholas Hansen,Sep 1-15,2,2,7
Nicholas Hansen,Sep 16-30,5,2,7
Nicholas Hansen,Oct 1-15,6,2,7
Nicholas Hansen,Oct 16-31,4,2,7
Nicholas Hansen,Nov 1-15,13,2,7
Nicholas Hansen,Nov 15-30,20,2,7
Nicholas Hansen,Dec 1-15,18,2,7
Nicholas Hansen,Dec 16-31,11,2,7
Nicholas Hansen,Jan 1-15,18,2,7
Nicholas Hansen,Jan 16-31,11,2,7
Nicholas Hansen,Feb 1-14,4,2,7
Nicholas Hansen,Feb 15-28,7,2,7
Nicholas Hansen,Mar 1-15,11,2,7
Nicholas Hansen,Mar 16-31,17,2,7
Nicholas Hansen,Apr 1-15,5,2,7
Nicholas Hansen,Apr 16-30,2,2,7
Nicholas Hansen,May 1-now,6,2,7
Peixin Fu,Sep 1-15,3,3,1
Peixin Fu,Sep 16-30,2,3,1
Peixin Fu,Oct 1-15,5,3,1
Peixin Fu,Oct 16-31,7,3,1
Peixin Fu,Nov 1-15,12,3,1
Peixin Fu,Nov 15-30,9,3,1
Peixin Fu,Dec 1-15,15,3,1
Peixin Fu,Dec 16-31,19,3,1
Peixin Fu,Jan 1-15,15,3,1
Peixin Fu,Jan 16-31,19,3,1
Peixin Fu,Feb 1-14,4,2,7
Peixin Fu,Feb 15-28,7,2,7
Peixin Fu,Mar 1-15,11,2,7
Peixin Fu,Mar 16-31,17,2,7
Peixin Fu,Apr 1-15,5,2,7
Peixin Fu,Apr 16-30,2,2,7
Peixin Fu,May 1-now,6,2,7
Rasha Alamoudi,Sep 1-15,2,1,4
Rasha Alamoudi,Sep 16-30,7,1,4
Rasha Alamoudi,Oct 1-15,11,1,4
Rasha Alamoudi,Oct 16-31,12,1,4
Rasha Alamoudi,Nov 1-15,1,1,4
Rasha Alamoudi,Nov 15-30,14,1,4
Rasha Alamoudi,Dec 1-15,16,1,4
Rasha Alamoudi,Dec 16-31,17,1,4
Rasha Alamoudi,Jan 1-15,16,1,4
Rasha Alamoudi,Jan 16-31,17,1,4
Rasha Alamoudi,Feb 1-14,4,2,7
Rasha Alamoudi,Feb 15-28,7,2,7
Rasha Alamoudi,Mar 1-15,11,2,7
Rasha Alamoudi,Mar 16-31,17,2,7
Rasha Alamoudi,Apr 1-15,5,2,7
Rasha Alamoudi,Apr 16-30,2,2,7
Rasha Alamoudi,May 1-now,6,2,7
Robert Sieg,Sep 1-15,3,2,7
Robert Sieg,Sep 16-30,7,2,7
Robert Sieg,Oct 1-15,11,2,7
Robert Sieg,Oct 16-31,17,2,7
Robert Sieg,Nov 1-15,7,2,7
Robert Sieg,Nov 15-30,2,2,7
Robert Sieg,Dec 1-15,6,2,7
Robert Sieg,Dec 16-31,4,2,7
Robert Sieg,Jan 1-15,6,2,7
Robert Sieg,Jan 16-31,4,2,7
Robert Sieg,Feb 1-14,4,2,7
Robert Sieg,Feb 15-28,7,2,7
Robert Sieg,Mar 1-15,11,2,7
Robert Sieg,Mar 16-31,17,2,7
Robert Sieg,Apr 1-15,5,2,7
Robert Sieg,Apr 16-30,2,2,7
Robert Sieg,May 1-now,6,2,7
Ruiwen Xu,Sep 1-15,3,3,1
Ruiwen Xu,Sep 16-30,8,3,1
Ruiwen Xu,Oct 1-15,9,3,1
Ruiwen Xu,Oct 16-31,3,3,1
Ruiwen Xu,Nov 1-15,4,3,1
Ruiwen Xu,Nov 15-30,2,3,1
Ruiwen Xu,Dec 1-15,13,3,1
Ruiwen Xu,Dec 16-31,10,3,1
Ruiwen Xu,Jan 1-15,13,3,1
Ruiwen Xu,Jan 16-31,10,3,1
Ruiwen Xu,Feb 1-14,4,2,7
Ruiwen Xu,Feb 15-28,7,2,7
Ruiwen Xu,Mar 1-15,11,2,7
Ruiwen Xu,Mar 16-31,17,2,7
Ruiwen Xu,Apr 1-15,5,2,7
Ruiwen Xu,Apr 16-30,2,2,7
Ruiwen Xu,May 1-now,6,2,7
Sanchit Gupta,Sep 1-15,2,3,2
Sanchit Gupta,Sep 16-30,5,3,2
Sanchit Gupta,Oct 1-15,6,3,2
Sanchit Gupta,Oct 16-31,4,3,2
Sanchit Gupta,Nov 1-15,6,3,2
Sanchit Gupta,Nov 15-30,20,3,2
Sanchit Gupta,Dec 1-15,18,3,2
Sanchit Gupta,Dec 16-31,11,3,2
Sanchit Gupta,Jan 1-15,18,3,2
Sanchit Gupta,Jan 16-31,11,3,2
Sanchit Gupta,Feb 1-14,4,2,7
Sanchit Gupta,Feb 15-28,7,2,7
Sanchit Gupta,Mar 1-15,11,2,7
Sanchit Gupta,Mar 16-31,17,2,7
Sanchit Gupta,Apr 1-15,5,2,7
Sanchit Gupta,Apr 16-30,2,2,7
Sanchit Gupta,May 1-now,6,2,7
Shihan Zhang,Sep 1-15,3,2,1
Shihan Zhang,Sep 16-30,2,2,1
Shihan Zhang,Oct 1-15,5,2,1
Shihan Zhang,Oct 16-31,7,2,1
Shihan Zhang,Nov 1-15,9,2,1
Shihan Zhang,Nov 15-30,9,2,1
Shihan Zhang,Dec 1-15,15,2,1
Shihan Zhang,Dec 16-31,19,2,1
Shihan Zhang,Jan 1-15,15,2,1
Shihan Zhang,Jan 16-31,19,2,1
Shihan Zhang,Feb 1-14,4,2,7
Shihan Zhang,Feb 15-28,7,2,7
Shihan Zhang,Mar 1-15,11,2,7
Shihan Zhang,Mar 16-31,17,2,7
Shihan Zhang,Apr 1-15,5,2,7
Shihan Zhang,Apr 16-30,2,2,7
Shihan Zhang,May 1-now,6,2,7
Shuo-Ling Huang,Sep 1-15,3,3,5
Shuo-Ling Huang,Sep 16-30,7,3,5
Shuo-Ling Huang,Oct 1-15,11,3,5
Shuo-Ling Huang,Oct 16-31,12,3,5
Shuo-Ling Huang,Nov 1-15,3,3,5
Shuo-Ling Huang,Nov 15-30,14,3,5
Shuo-Ling Huang,Dec 1-15,16,3,5
Shuo-Ling Huang,Dec 16-31,17,3,5
Shuo-Ling Huang,Jan 1-15,16,3,5
Shuo-Ling Huang,Jan 16-31,17,3,5
Shuo-Ling Huang,Feb 1-14,4,2,7
Shuo-Ling Huang,Feb 15-28,7,2,7
Shuo-Ling Huang,Mar 1-15,11,2,7
Shuo-Ling Huang,Mar 16-31,17,2,7
Shuo-Ling Huang,Apr 1-15,5,2,7
Shuo-Ling Huang,Apr 16-30,2,2,7
Shuo-Ling Huang,May 1-now,6,2,7
Siyao Zhu,Sep 1-15,4,3,1
Siyao Zhu,Sep 16-30,7,3,1
Siyao Zhu,Oct 1-15,11,3,1
Siyao Zhu,Oct 16-31,17,3,1
Siyao Zhu,Nov 1-15,7,3,1
Siyao Zhu,Nov 15-30,2,3,1
Siyao Zhu,Dec 1-15,6,3,1
Siyao Zhu,Dec 16-31,4,3,1
Siyao Zhu,Jan 1-15,6,3,1
Siyao Zhu,Jan 16-31,4,3,1
Siyao Zhu,Feb 1-14,4,2,7
Siyao Zhu,Feb 15-28,7,2,7
Siyao Zhu,Mar 1-15,11,2,7
Siyao Zhu,Mar 16-31,17,2,7
Siyao Zhu,Apr 1-15,5,2,7
Siyao Zhu,Apr 16-30,2,2,7
Siyao Zhu,May 1-now,6,2,7
Sophie Feller,Sep 1-15,1,1,7
Sophie Feller,Sep 16-30,8,1,7
Sophie Feller,Oct 1-15,9,1,7
Sophie Feller,Oct 16-31,3,1,7
Sophie Feller,Nov 1-15,8,1,7
Sophie Feller,Nov 15-30,2,1,7
Sophie Feller,Dec 1-15,13,1,7
Sophie Feller,Dec 16-31,10,1,7
Sophie Feller,Jan 1-15,13,1,7
Sophie Feller,Jan 16-31,10,1,7
Sophie Feller,Feb 1-14,4,2,7
Sophie Feller,Feb 15-28,7,2,7
Sophie Feller,Mar 1-15,11,2,7
Sophie Feller,Mar 16-31,17,2,7
Sophie Feller,Apr 1-15,5,2,7
Sophie Feller,Apr 16-30,2,2,7
Sophie Feller,May 1-now,6,2,7
Tian Fei,Sep 1-15,2,3,1
Tian Fei,Sep 16-30,5,3,1
Tian Fei,Oct 1-15,6,3,1
Tian Fei,Oct 16-31,4,3,1
Tian Fei,Nov 1-15,5,3,1
Tian Fei,Nov 15-30,20,3,1
Tian Fei,Dec 1-15,18,3,1
Tian Fei,Dec 16-31,11,3,1
Tian Fei,Jan 1-15,18,3,1
Tian Fei,Jan 16-31,11,3,1
Tian Fei,Feb 1-14,4,2,7
Tian Fei,Feb 15-28,7,2,7
Tian Fei,Mar 1-15,11,2,7
Tian Fei,Mar 16-31,17,2,7
Tian Fei,Apr 1-15,5,2,7
Tian Fei,Apr 16-30,2,2,7
Tian Fei,May 1-now,6,2,7
Tracy Tsutsumoto,Sep 1-15,1,1,7
Tracy Tsutsumoto,Sep 16-30,2,1,7
Tracy Tsutsumoto,Oct 1-15,5,1,7
Tracy Tsutsumoto,Oct 16-31,7,1,7
Tracy Tsutsumoto,Nov 1-15,10,1,7
Tracy Tsutsumoto,Nov 15-30,9,1,7
Tracy Tsutsumoto,Dec 1-15,15,1,7
Tracy Tsutsumoto,Dec 16-31,19,1,7
Tracy Tsutsumoto,Jan 1-15,15,1,7
Tracy Tsutsumoto,Jan 16-31,19,1,7
Tracy Tsutsumoto,Feb 1-14,4,2,7
Tracy Tsutsumoto,Feb 15-28,7,2,7
Tracy Tsutsumoto,Mar 1-15,11,2,7
Tracy Tsutsumoto,Mar 16-31,17,2,7
Tracy Tsutsumoto,Apr 1-15,5,2,7
Tracy Tsutsumoto,Apr 16-30,2,2,7
Tracy Tsutsumoto,May 1-now,6,2,7
Veena Ramachandran,Sep 1-15,2,3,2
Veena Ramachandran,Sep 16-30,7,3,2
Veena Ramachandran,Oct 1-15,11,3,2
Veena Ramachandran,Oct 16-31,12,3,2
Veena Ramachandran,Nov 1-15,6,3,2
Veena Ramachandran,Nov 15-30,14,3,2
Veena Ramachandran,Dec 1-15,16,3,2
Veena Ramachandran,Dec 16-31,17,3,2
Veena Ramachandran,Jan 1-15,16,3,2
Veena Ramachandran,Jan 16-31,17,3,2
Veena Ramachandran,Feb 1-14,4,2,7
Veena Ramachandran,Feb 15-28,7,2,7
Veena Ramachandran,Mar 1-15,11,2,7
Veena Ramachandran,Mar 16-31,17,2,7
Veena Ramachandran,Apr 1-15,5,2,7
Veena Ramachandran,Apr 16-30,2,2,7
Veena Ramachandran,May 1-now,6,2,7
William Bottini,Sep 1-15,3,1,7
William Bottini,Sep 16-30,7,1,7
William Bottini,Oct 1-15,11,1,7
William Bottini,Oct 16-31,17,1,7
William Bottini,Nov 1-15,8,1,7
William Bottini,Nov 15-30,2,1,7
William Bottini,Dec 1-15,6,1,7
